user_id,behavior_1_total,behavior_2_total,behavior_3_total,behavior_4_total,behavior_1_bought_itm_avrg,behavior_2_bought_itm_avrg,behavior_3_bought_itm_avrg,behavior_1_unbought_itm_avrg,behavior_2_unbought_itm_avrg,behavior_3_unbought_itm_avrg,behavior_1_bought_catg_avrg,behavior_2_bought_catg_avrg,behavior_3_bought_catg_avrg,behavior_1_unbought_catg_avrg,behavior_2_unbought_catg_avrg,behavior_3_unbought_catg_avrg,behavior_1_similar_avrg,behavior_2_similar_avrg,behavior_3_similar_avrg,cycle_bought_itm_avrg,cycle_unbought_itm_avrg
118390819,1390.0,3.0,103.0,21.0,7.765,0.0,1.471,2.75,0.007,0.177,35.533,0.067,4.267,6.838,0.018,0.315,3.318,3.318,3.318,3.294,1.583
91127849,1136.0,1.0,0.0,10.0,7.0,0.125,0.0,2.44,0.0,0.0,17.429,0.143,0.0,15.354,0.0,0.0,2.512,2.512,2.512,1.0,1.17
34963501,491.0,36.0,0.0,7.0,5.286,0.714,0.0,2.354,0.161,0.0,14.143,1.286,0.0,4.464,0.321,0.0,1.657,1.657,1.657,1.286,1.172
107577391,643.0,17.0,0.0,8.0,5.286,0.286,0.0,2.197,0.057,0.0,12.0,0.429,0.0,8.297,0.219,0.0,0.881,0.881,0.881,1.0,1.027
134185008,154.0,0.0,6.0,4.0,5.5,0.0,0.25,2.164,0.0,0.082,15.5,0.0,0.25,8.364,0.0,0.455,2.269,2.269,2.269,1.0,1.098
93945905,1253.0,44.0,39.0,37.0,4.917,0.083,0.583,2.341,0.089,0.04,13.071,0.214,1.0,9.647,0.424,0.094,2.16,2.16,2.16,1.861,1.337
52625459,755.0,27.0,13.0,12.0,8.7,0.4,1.1,2.38,0.082,0.007,25.444,0.778,1.222,10.804,0.391,0.022,3.74,3.74,3.74,1.4,1.09
105513020,4795.0,278.0,49.0,9.0,10.778,0.778,1.444,2.17,0.126,0.017,253.714,18.857,2.857,17.364,0.923,0.196,2.522,2.522,2.522,2.333,1.552
33947710,536.0,2.0,17.0,6.0,5.833,0.0,1.0,2.123,0.009,0.047,11.4,0.0,1.6,4.723,0.02,0.089,0.889,0.889,0.889,1.0,1.026
85018675,223.0,0.0,6.0,14.0,2.818,0.0,0.364,1.968,0.0,0.021,10.9,0.0,0.4,3.893,0.0,0.071,1.059,1.059,1.059,1.0,1.126
136163215,1427.0,219.0,31.0,36.0,3.455,0.212,0.758,2.151,0.354,0.008,8.947,0.789,1.105,6.136,1.06,0.016,2.718,2.718,2.718,1.515,1.56
76841032,441.0,23.0,1.0,5.0,5.4,0.2,0.0,2.503,0.137,0.006,6.8,0.4,0.0,9.585,0.512,0.024,0.9,0.9,0.9,1.0,1.696
85393494,494.0,2.0,1.0,7.0,3.571,0.0,0.0,2.182,0.009,0.005,12.0,0.0,0.0,4.113,0.021,0.01,2.039,2.039,2.039,1.0,1.481
73334871,40.0,2.0,1.0,1.0,10.0,1.0,1.0,3.333,0.111,0.0,10.0,1.0,1.0,15.0,0.5,0.0,0.0,0.0,0.0,1.0,2.889
63340633,104.0,0.0,22.0,10.0,2.2,0.0,1.2,2.0,0.0,0.244,2.778,0.0,1.444,5.643,0.0,0.643,1.033,1.033,1.033,2.1,1.39
127107167,1140.0,20.0,15.0,6.0,5.667,0.0,0.333,2.318,0.043,0.028,15.6,0.0,0.6,15.279,0.294,0.176,1.805,1.805,1.805,1.167,1.485
8224865,441.0,0.0,3.0,8.0,1.875,0.0,0.0,2.099,0.0,0.015,13.25,0.0,0.0,7.633,0.0,0.061,1.631,1.631,1.631,1.0,1.153
71041123,358.0,0.0,10.0,4.0,5.75,0.0,0.5,2.343,0.0,0.057,10.5,0.0,0.75,11.48,0.0,0.28,1.25,1.25,1.25,1.0,1.279
107282532,1150.0,73.0,2.0,5.0,15.75,0.75,0.5,3.054,0.201,0.0,133.75,9.5,0.5,14.538,0.897,0.0,3.049,3.049,3.049,2.5,1.444
109052005,241.0,13.0,5.0,4.0,5.0,0.25,0.25,2.315,0.13,0.043,6.25,0.25,0.25,4.714,0.286,0.095,1.25,1.25,1.25,3.25,1.37
111083622,1299.0,75.0,25.0,8.0,10.375,0.125,0.5,2.659,0.169,0.048,37.875,2.5,1.0,7.622,0.454,0.134,2.251,2.251,2.251,2.125,1.307
140968041,1379.0,10.0,13.0,11.0,6.364,0.182,0.727,2.831,0.018,0.011,45.125,0.5,1.0,8.802,0.045,0.045,3.472,3.472,3.472,2.273,1.2
120258671,600.0,5.0,37.0,5.0,7.0,0.2,1.4,2.345,0.017,0.128,20.667,0.333,1.333,6.94,0.06,0.388,2.023,2.023,2.023,2.4,1.23
108101748,1272.0,2.0,166.0,25.0,7.0,0.0,2.167,2.405,0.002,0.268,43.067,0.0,8.867,4.406,0.0,0.283,3.309,3.309,3.309,4.042,1.252
45514873,2603.0,140.0,23.0,15.0,5.857,0.5,1.214,2.391,0.126,0.006,70.727,3.0,1.273,14.079,0.817,0.04,2.879,2.879,2.879,2.0,1.253
9109626,13.0,0.0,0.0,1.0,5.0,0.0,0.0,2.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0
82378875,4910.0,19.0,248.0,37.0,6.824,0.294,1.147,1.785,0.004,0.082,27.3,0.4,3.333,16.366,0.029,0.592,2.008,2.008,2.008,2.206,1.475
142344317,2164.0,18.0,10.0,17.0,6.765,0.118,0.529,2.404,0.019,0.001,24.8,0.2,0.6,10.115,0.085,0.006,1.877,1.877,1.877,2.0,1.646
25329794,431.0,31.0,12.0,1.0,8.0,1.0,1.0,2.694,0.191,0.07,41.0,8.0,1.0,5.417,0.319,0.153,3.636,3.636,3.636,1.0,1.338
129007757,157.0,0.0,2.0,0.0,0.0,0.0,0.0,2.211,0.0,0.028,0.0,0.0,0.0,7.85,0.0,0.1,0.0,0.0,0.0,1000.0,1.155
57081999,1276.0,26.0,35.0,31.0,4.846,0.077,1.0,2.011,0.044,0.017,13.9,0.2,1.4,6.932,0.159,0.053,2.225,2.225,2.225,1.654,1.234
111378577,4971.0,86.0,15.0,7.0,12.667,0.833,0.5,2.913,0.048,0.007,87.4,1.8,1.0,32.976,0.583,0.055,2.526,2.526,2.526,6.833,1.552
130351251,1253.0,13.0,16.0,7.0,8.286,0.0,0.571,2.936,0.035,0.032,42.857,0.286,1.143,10.407,0.136,0.099,2.252,2.252,2.252,3.0,1.139
48595099,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,1000.0,1.0
30343324,261.0,11.0,1.0,0.0,0.0,0.0,0.0,1.621,0.068,0.006,0.0,0.0,0.0,5.22,0.22,0.02,0.0,0.0,0.0,1000.0,1.0
4423839,758.0,1.0,94.0,16.0,7.25,0.0,0.563,2.019,0.003,0.269,26.077,0.0,2.231,5.581,0.016,0.968,3.1,3.1,3.1,1.75,1.545
122126498,797.0,0.0,36.0,4.0,6.25,0.0,0.75,2.367,0.0,0.102,25.25,0.0,1.5,4.053,0.0,0.178,1.95,1.95,1.95,1.25,1.142
135790755,749.0,0.0,43.0,3.0,5.667,0.0,1.0,2.098,0.0,0.115,27.0,0.0,2.0,12.07,0.0,0.684,2.236,2.236,2.236,1.0,1.256
73597094,3786.0,1.0,351.0,37.0,5.69,0.0,0.897,1.837,0.001,0.167,32.192,0.0,3.885,14.0,0.005,1.244,1.6,1.6,1.6,1.931,1.169
48890026,298.0,28.0,2.0,3.0,6.667,0.667,0.333,2.279,0.213,0.008,31.667,4.333,0.333,14.0,1.071,0.071,3.54,3.54,3.54,1.333,1.508
9437355,715.0,0.0,72.0,9.0,9.5,0.0,1.125,2.03,0.0,0.197,37.429,0.0,5.0,4.0,0.0,0.305,3.166,3.166,3.166,5.75,1.547
20545709,419.0,1.0,21.0,7.0,6.143,0.143,0.857,2.166,0.0,0.096,13.857,0.143,1.0,7.135,0.0,0.351,1.339,1.339,1.339,1.857,1.268
93618357,1043.0,0.0,46.0,24.0,4.5,0.0,1.0,2.006,0.0,0.055,25.385,0.0,2.308,5.347,0.0,0.105,2.478,2.478,2.478,1.6,1.468
112754870,452.0,12.0,5.0,7.0,4.571,0.0,0.714,2.429,0.078,0.0,18.0,0.0,0.714,5.0,0.226,0.0,0.5,0.5,0.5,2.714,1.422
6979767,211.0,1.0,0.0,5.0,1.8,0.0,0.0,2.376,0.012,0.0,3.0,0.0,0.0,4.045,0.023,0.0,1.2,1.2,1.2,1.0,1.824
135692473,254.0,1.0,15.0,13.0,2.077,0.0,0.231,2.489,0.011,0.122,14.667,0.0,1.222,7.0,0.059,0.059,1.88,1.88,1.88,1.308,1.411
58949820,773.0,23.0,27.0,26.0,3.885,0.077,0.385,2.95,0.086,0.073,9.05,0.25,0.65,5.551,0.143,0.133,2.12,2.12,2.12,1.308,1.845
99778749,1400.0,1.0,69.0,18.0,7.154,0.0,1.154,2.357,0.002,0.101,41.538,0.0,2.769,7.11,0.009,0.284,2.094,2.094,2.094,1.231,1.26
10977473,2850.0,17.0,3.0,10.0,6.2,0.1,0.2,2.251,0.013,0.001,27.5,0.1,0.2,10.964,0.073,0.005,2.0,2.0,2.0,2.7,1.349
96993474,1389.0,1.0,7.0,5.0,8.0,0.0,0.2,2.209,0.002,0.01,30.6,0.0,0.2,6.519,0.005,0.032,1.974,1.974,1.974,1.4,1.349
56699596,608.0,0.0,24.0,1.0,5.0,0.0,0.0,2.523,0.0,0.1,22.0,0.0,1.0,6.814,0.0,0.267,2.571,2.571,2.571,1.0,1.519
73007312,3014.0,13.0,80.0,35.0,5.273,0.061,0.879,2.141,0.008,0.038,24.935,0.065,1.387,15.801,0.081,0.243,1.486,1.486,1.486,2.97,1.651
28639441,634.0,3.0,0.0,4.0,6.5,0.25,0.0,2.308,0.008,0.0,11.0,0.25,0.0,5.82,0.02,0.0,1.0,1.0,1.0,1.25,1.315
110362834,14.0,0.0,0.0,2.0,0.0,0.0,0.0,1.182,0.0,0.0,2.0,0.0,0.0,1.125,0.0,0.0,1.0,1.0,1.0,1.0,1.364
142147795,3500.0,103.0,3.0,8.0,5.857,0.571,0.429,2.109,0.061,0.0,28.0,1.333,0.5,15.785,0.455,0.0,2.385,2.385,2.385,2.286,1.384
55214292,3195.0,198.0,17.0,15.0,10.2,0.6,0.067,2.835,0.179,0.015,53.857,2.214,0.357,17.775,1.27,0.099,2.481,2.481,2.481,1.533,1.886
109347031,1096.0,4.0,24.0,14.0,8.769,0.154,0.692,2.394,0.005,0.038,28.111,0.222,1.778,7.402,0.023,0.069,3.896,3.896,3.896,6.692,1.15
32964824,659.0,0.0,27.0,5.0,10.4,0.0,1.0,1.704,0.0,0.063,52.2,0.0,4.0,5.647,0.0,0.103,2.377,2.377,2.377,3.4,1.148
28836058,604.0,2.0,27.0,10.0,7.75,0.0,1.125,2.607,0.0,0.08,41.833,0.0,2.5,5.357,0.0,0.089,4.577,4.577,4.577,1.5,1.179
141492445,1382.0,9.0,9.0,9.0,4.875,0.0,0.5,1.975,0.013,0.007,12.5,0.0,1.0,15.198,0.105,0.035,2.034,2.034,2.034,1.5,1.044
65863903,706.0,3.0,17.0,6.0,12.0,0.0,1.0,2.135,0.007,0.04,43.5,0.0,1.167,7.056,0.037,0.185,1.831,1.831,1.831,1.5,1.168
72395472,2270.0,0.0,54.0,27.0,7.5,0.0,0.8,2.421,0.0,0.044,39.667,0.0,1.167,8.779,0.0,0.196,2.077,2.077,2.077,3.25,1.344
38940871,391.0,4.0,10.0,27.0,1.565,0.043,0.13,2.34,0.02,0.04,4.0,0.176,0.118,4.296,0.014,0.07,1.863,1.863,1.863,1.043,1.067
117604582,1124.0,0.0,52.0,17.0,4.625,0.0,0.875,1.744,0.0,0.065,23.2,0.0,1.667,5.907,0.0,0.206,1.647,1.647,1.647,1.625,1.357
63144168,601.0,16.0,9.0,12.0,7.4,0.6,0.8,2.034,0.042,0.004,18.3,0.9,0.8,5.318,0.106,0.015,1.847,1.847,1.847,3.5,1.231
136184048,526.0,1.0,21.0,5.0,6.25,0.0,0.75,2.474,0.005,0.092,25.25,0.0,1.75,8.956,0.022,0.289,3.192,3.192,3.192,1.25,1.117
24051953,173.0,3.0,3.0,2.0,9.5,0.0,1.0,2.552,0.052,0.017,40.5,1.0,1.0,5.059,0.059,0.059,1.455,1.455,1.455,1.0,1.741
139264243,2262.0,214.0,53.0,20.0,6.3,0.2,1.35,2.038,0.204,0.025,46.3,3.7,3.3,9.977,1.017,0.081,3.469,3.469,3.469,2.6,1.491
41550068,1934.0,11.0,16.0,10.0,7.778,0.111,0.222,2.461,0.013,0.019,43.286,0.429,0.571,10.632,0.056,0.083,2.754,2.754,2.754,1.0,1.312
102155970,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1000.0,1.0
70549753,101.0,1.0,6.0,1.0,4.0,1.0,1.0,2.109,0.0,0.109,8.0,1.0,2.0,5.471,0.0,0.235,2.5,2.5,2.5,1.0,1.0
56885499,1386.0,1.0,97.0,7.0,10.714,0.0,1.857,2.765,0.002,0.179,80.714,0.0,6.857,15.549,0.02,0.941,1.377,1.377,1.377,4.571,1.65
141224661,493.0,3.0,36.0,14.0,3.429,0.0,1.429,2.214,0.015,0.082,6.923,0.0,1.769,7.135,0.058,0.212,1.405,1.405,1.405,1.929,1.092
82411784,611.0,3.0,10.0,12.0,3.364,0.0,0.364,1.874,0.01,0.021,15.667,0.0,0.0,4.965,0.053,0.053,1.587,1.587,1.587,1.455,1.276
123404554,350.0,0.0,5.0,0.0,0.0,0.0,0.0,2.258,0.0,0.032,0.0,0.0,0.0,5.645,0.0,0.081,0.0,0.0,0.0,1000.0,1.226
92471565,1435.0,4.0,68.0,19.0,5.571,0.0,0.643,2.527,0.008,0.113,25.455,0.0,1.727,10.6,0.04,0.45,3.406,3.406,3.406,1.786,1.16
6193425,769.0,7.0,0.0,4.0,5.25,0.25,0.0,2.352,0.019,0.0,40.25,0.5,0.0,7.608,0.063,0.0,2.004,2.004,2.004,1.25,1.292
89587988,570.0,1.0,37.0,39.0,2.172,0.0,0.172,2.506,0.006,0.161,5.905,0.0,0.381,8.091,0.023,0.5,1.529,1.529,1.529,1.103,1.4
102695192,437.0,4.0,4.0,8.0,8.5,0.167,0.5,2.476,0.021,0.007,18.333,0.167,0.667,5.036,0.054,0.0,1.949,1.949,1.949,1.0,1.035
1376538,492.0,0.0,16.0,1.0,2.0,0.0,1.0,2.008,0.0,0.061,2.0,0.0,1.0,7.206,0.0,0.221,0.0,0.0,0.0,1.0,1.279
37093659,2002.0,3.0,27.0,20.0,5.333,0.0,0.556,2.42,0.004,0.022,27.438,0.063,0.875,7.081,0.01,0.066,2.227,2.227,2.227,1.278,1.307
116424989,483.0,19.0,3.0,11.0,8.25,0.375,0.25,2.795,0.11,0.0,13.714,0.714,0.286,5.944,0.222,0.0,2.493,2.493,2.493,1.0,1.535
26804514,578.0,2.0,12.0,1.0,14.0,0.0,1.0,2.655,0.01,0.054,137.0,1.0,9.0,9.512,0.023,0.07,3.22,3.22,3.22,1.0,1.394
98599208,599.0,1.0,45.0,14.0,5.786,0.0,1.5,2.473,0.005,0.116,10.615,0.077,1.615,6.5,0.0,0.343,2.635,2.635,2.635,2.357,1.401
52084786,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.857,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,1000.0,1.0
117014579,800.0,344.0,7.0,0.0,0.0,0.0,0.0,2.216,0.953,0.019,0.0,0.0,0.0,4.598,1.977,0.04,0.0,0.0,0.0,1000.0,1.468
74318132,105.0,35.0,0.0,0.0,0.0,0.0,0.0,2.1,0.7,0.0,0.0,0.0,0.0,5.526,1.842,0.0,0.0,0.0,0.0,1000.0,1.0
18055477,302.0,15.0,11.0,6.0,4.0,0.167,0.833,3.649,0.189,0.081,11.6,0.6,1.2,8.08,0.4,0.2,2.399,2.399,2.399,6.333,3.189
35782975,52.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,1000.0,1.02
136970561,1130.0,15.0,0.0,2.0,10.0,0.5,0.0,2.135,0.027,0.0,110.0,3.0,0.0,9.933,0.1,0.0,0.986,0.986,0.986,1.0,1.345
139034947,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,1000.0,1.0
21627206,387.0,0.0,6.0,2.0,4.5,0.0,0.0,2.62,0.0,0.042,35.5,0.0,0.0,8.611,0.0,0.167,2.386,2.386,2.386,1.0,1.085
35881288,1029.0,8.0,50.0,5.0,8.4,0.2,0.8,2.648,0.019,0.124,41.0,0.4,3.2,23.939,0.061,1.03,3.124,3.124,3.124,3.6,1.484
113443146,1076.0,61.0,1.0,4.0,10.25,1.0,0.25,2.518,0.14,0.0,51.75,3.5,0.25,12.848,0.682,0.0,2.631,2.631,2.631,1.25,1.391
37192011,180.0,0.0,1.0,6.0,7.833,0.0,0.167,2.327,0.0,0.0,19.0,0.0,0.25,6.333,0.0,0.0,3.167,3.167,3.167,1.333,1.0
24772941,256.0,0.0,30.0,13.0,4.083,0.0,0.917,2.094,0.0,0.198,15.714,0.0,3.0,6.364,0.0,0.409,2.741,2.741,2.741,1.0,1.01
89719120,82.0,0.0,0.0,0.0,0.0,0.0,0.0,2.103,0.0,0.0,0.0,0.0,0.0,5.467,0.0,0.0,0.0,0.0,0.0,1000.0,1.077
69255224,1307.0,48.0,72.0,12.0,10.909,0.182,1.273,2.231,0.088,0.105,47.556,1.0,3.222,12.719,0.578,0.578,2.346,2.346,2.346,4.091,1.782
74088786,1261.0,20.0,19.0,19.0,11.786,0.5,0.571,2.645,0.033,0.025,36.0,0.75,0.583,6.277,0.092,0.084,2.626,2.626,2.626,2.143,1.343
127009117,2034.0,50.0,2.0,5.0,12.0,0.6,0.2,2.24,0.054,0.001,29.5,1.0,0.25,9.427,0.246,0.006,2.122,2.122,2.122,1.4,1.243
86507870,1208.0,0.0,55.0,5.0,11.0,0.0,1.4,2.143,0.0,0.089,84.75,0.0,3.25,13.323,0.0,0.646,1.743,1.743,1.743,5.0,1.297
105513316,1699.0,0.0,96.0,24.0,4.176,0.0,1.235,2.295,0.0,0.103,12.4,0.0,2.0,10.203,0.0,0.406,2.91,2.91,2.91,2.176,1.123
134807912,238.0,2.0,14.0,9.0,3.222,0.0,0.222,2.258,0.011,0.124,5.857,0.0,0.0,5.4,0.033,0.3,1.311,1.311,1.311,1.111,1.101
54559085,703.0,2.0,95.0,5.0,8.6,0.0,1.0,2.715,0.009,0.395,41.8,0.0,5.6,7.205,0.051,1.0,4.271,4.271,4.271,4.0,1.794
30933358,190.0,9.0,3.0,0.0,0.0,0.0,0.0,2.676,0.127,0.042,0.0,0.0,0.0,5.278,0.25,0.083,0.0,0.0,0.0,1000.0,1.732
91488626,1032.0,3.0,96.0,16.0,5.4,0.0,1.267,2.558,0.008,0.209,15.0,0.0,2.357,8.912,0.033,0.692,2.169,2.169,2.169,3.6,1.325
115573107,342.0,1.0,15.0,3.0,4.0,0.0,0.333,2.377,0.007,0.101,22.333,0.0,0.667,5.571,0.02,0.265,2.196,2.196,2.196,1.0,1.116
92307831,549.0,0.0,10.0,4.0,8.5,0.0,1.5,2.474,0.0,0.021,33.25,0.0,2.0,6.182,0.0,0.036,2.595,2.595,2.595,1.25,1.693
141263225,1050.0,0.0,51.0,24.0,5.391,0.0,0.696,2.221,0.0,0.086,12.882,0.0,1.176,4.943,0.0,0.157,1.875,1.875,1.875,1.87,1.249
54460794,1060.0,4.0,129.0,19.0,4.368,0.0,0.789,2.354,0.01,0.284,16.444,0.0,2.167,5.413,0.032,0.698,1.592,1.592,1.592,1.105,1.18
140870011,982.0,0.0,69.0,0.0,0.0,0.0,0.0,2.994,0.0,0.21,0.0,0.0,0.0,21.348,0.0,1.5,0.0,0.0,0.0,1000.0,1.503
30671231,2882.0,201.0,14.0,29.0,7.103,0.138,0.0,2.285,0.171,0.012,36.385,1.192,0.077,10.462,0.971,0.07,2.449,2.449,2.449,1.241,1.131
70680961,1737.0,41.0,20.0,10.0,10.222,0.444,0.111,2.335,0.054,0.028,42.857,0.857,0.714,7.201,0.185,0.074,4.688,4.688,4.688,4.556,1.669
121667974,1413.0,3.0,51.0,0.0,0.0,0.0,0.0,2.305,0.005,0.083,0.0,0.0,0.0,15.359,0.033,0.554,0.0,0.0,0.0,1000.0,1.339
141361543,2883.0,21.0,206.0,18.0,5.833,0.0,1.278,2.215,0.017,0.146,28.133,0.133,2.533,7.848,0.064,0.53,2.292,2.292,2.292,2.278,1.279
94306699,848.0,8.0,21.0,2.0,3.5,1.0,1.0,2.156,0.015,0.049,10.5,1.5,1.0,9.81,0.06,0.226,1.071,1.071,1.071,2.0,1.187
21381186,757.0,3.0,71.0,0.0,0.0,0.0,0.0,2.109,0.008,0.198,0.0,0.0,0.0,16.822,0.067,1.578,0.0,0.0,0.0,1000.0,1.17
16351631,869.0,5.0,170.0,23.0,4.2,0.0,1.2,1.666,0.011,0.316,16.867,0.133,3.267,4.436,0.03,0.891,1.458,1.458,1.458,1.3,2.219
17782168,260.0,0.0,4.0,1.0,6.0,0.0,1.0,2.165,0.0,0.026,12.0,0.0,2.0,3.197,0.0,0.026,2.333,2.333,2.333,1.0,1.026
93913492,372.0,0.0,26.0,18.0,2.294,0.0,0.588,2.09,0.0,0.103,19.167,0.0,2.333,5.543,0.0,0.143,2.644,2.644,2.644,1.0,1.038
139198871,63.0,0.0,0.0,8.0,4.25,0.0,0.0,2.077,0.0,0.0,6.0,0.0,0.0,3.8,0.0,0.0,1.75,1.75,1.75,3.125,1.077
74154402,202.0,2.0,7.0,0.0,0.0,0.0,0.0,2.295,0.023,0.08,0.0,0.0,0.0,13.467,0.133,0.467,0.0,0.0,0.0,1000.0,1.307
25438961,372.0,29.0,2.0,5.0,5.4,0.2,0.4,2.706,0.222,0.0,14.2,0.6,0.4,15.526,1.368,0.0,1.551,1.551,1.551,1.0,1.563
117277103,125.0,0.0,2.0,2.0,4.5,0.0,0.0,2.426,0.0,0.043,18.0,0.0,0.0,5.8,0.0,0.133,2.157,2.157,2.157,1.0,1.021
84418566,654.0,2.0,12.0,7.0,3.143,0.0,0.0,2.898,0.009,0.056,47.4,0.0,1.2,15.577,0.077,0.231,2.496,2.496,2.496,1.143,1.46
103121345,273.0,1.0,6.0,2.0,4.0,0.0,1.0,2.284,0.009,0.034,11.5,0.0,1.5,6.25,0.025,0.075,2.0,2.0,2.0,1.5,1.017
5964232,842.0,0.0,6.0,4.0,7.0,0.0,1.0,2.858,0.0,0.011,51.333,0.0,1.667,10.828,0.0,0.0,2.807,2.807,2.807,1.0,2.142
57147852,2007.0,2.0,74.0,34.0,8.559,0.0,0.824,3.239,0.004,0.089,18.214,0.0,1.286,8.047,0.012,0.215,3.453,3.453,3.453,2.941,1.833
2506341,136.0,0.0,2.0,0.0,0.0,0.0,0.0,1.915,0.0,0.028,0.0,0.0,0.0,11.333,0.0,0.167,0.0,0.0,0.0,1000.0,1.31
59638225,2284.0,3.0,44.0,13.0,8.833,0.0,1.25,2.022,0.003,0.027,39.333,0.0,1.5,8.607,0.017,0.129,1.675,1.675,1.675,3.083,1.161
40796628,512.0,8.0,0.0,4.0,5.667,0.333,0.0,3.193,0.048,0.0,16.667,0.333,0.0,9.698,0.163,0.0,3.167,3.167,3.167,1.0,1.49
33522133,3066.0,108.0,0.0,13.0,13.077,0.692,0.0,2.474,0.086,0.0,120.6,4.4,0.0,15.902,0.524,0.0,2.711,2.711,2.711,2.154,1.314
122552791,282.0,5.0,0.0,2.0,1.0,0.0,0.0,2.4,0.043,0.0,1.0,0.0,0.0,7.459,0.135,0.0,0.0,0.0,0.0,1.0,1.443
36203258,495.0,0.0,14.0,11.0,5.091,0.0,0.727,2.139,0.0,0.03,18.1,0.0,0.9,4.082,0.0,0.068,1.781,1.781,1.781,1.0,1.213
132940254,1309.0,66.0,59.0,4.0,8.0,0.0,0.75,2.115,0.11,0.093,32.25,2.5,2.75,5.265,0.251,0.215,3.077,3.077,3.077,4.5,1.188
76349919,620.0,9.0,46.0,34.0,4.815,0.0,1.0,2.009,0.034,0.082,17.647,0.0,2.118,4.677,0.129,0.161,2.501,2.501,2.501,2.481,1.043
23003616,186.0,0.0,0.0,0.0,0.0,0.0,0.0,2.138,0.0,0.0,0.0,0.0,0.0,6.414,0.0,0.0,0.0,0.0,0.0,1000.0,1.092
99221990,731.0,5.0,1.0,1.0,6.0,0.0,0.0,2.594,0.018,0.004,31.0,0.0,0.0,6.376,0.046,0.009,3.125,3.125,3.125,1.0,1.058
46563819,1034.0,15.0,9.0,9.0,6.875,0.125,0.5,2.216,0.03,0.011,14.25,0.125,0.5,8.769,0.125,0.048,1.451,1.451,1.451,2.125,1.446
