date,transaction_vol
2014-12-12 03,2
2014-12-12 00,3
2014-12-12 01,14
2014-12-11 21,5
2014-12-11 20,10
2014-12-11 23,2
2014-12-11 22,3
2014-11-23 23,5
2014-11-23 22,17
2014-11-23 21,14
2014-11-23 20,3
2014-11-22 08,8
2014-11-22 09,7
2014-11-22 06,1
2014-11-22 07,2
2014-11-22 04,0
2014-11-22 05,1
2014-11-22 02,3
2014-11-22 03,1
2014-11-22 00,6
2014-11-22 01,6
2014-12-04 01,1
2014-12-04 00,6
2014-11-26 04,0
2014-11-25 17,9
2014-11-23 18,2
2014-11-21 21,7
2014-11-21 20,1
2014-11-21 23,7
2014-11-21 22,5
2014-11-29 14,9
2014-11-18 10,19
2014-11-29 16,2
2014-11-23 06,4
2014-11-29 10,2
2014-11-29 11,1
2014-11-29 12,7
2014-11-29 13,10
2014-11-29 18,4
2014-11-29 19,9
2014-12-01 03,0
2014-11-27 20,2
2014-12-16 19,7
2014-12-16 18,3
2014-11-28 11,5
2014-11-20 07,2
2014-11-28 17,4
2014-11-28 16,7
2014-11-28 15,3
2014-11-28 14,6
2014-12-16 11,1
2014-12-16 10,7
2014-11-28 19,11
2014-12-16 12,4
2014-11-20 08,1
2014-12-16 14,4
2014-12-16 17,4
2014-12-16 16,5
2014-11-23 12,6
2014-12-18 18,8
2014-12-10 03,1
2014-12-16 13,6
2014-11-18 18,16
2014-11-18 19,7
2014-12-04 03,0
2014-12-18 10,4
2014-12-04 05,1
2014-12-04 04,2
2014-12-04 07,0
2014-12-04 06,0
2014-12-04 09,1
2014-12-04 08,2
2014-11-18 12,6
2014-11-18 13,14
2014-11-18 14,19
2014-11-18 15,10
2014-11-18 16,5
2014-11-18 17,12
2014-12-01 15,3
2014-12-01 14,7
2014-12-01 17,13
2014-12-01 16,1
2014-12-01 11,2
2014-12-01 10,11
2014-12-01 13,4
2014-12-01 12,1
2014-12-01 23,6
2014-12-01 19,6
2014-12-01 18,1
2014-11-30 16,3
2014-11-25 11,4
2014-11-25 12,1
2014-11-30 15,7
2014-11-30 12,1
2014-11-25 15,11
2014-11-25 16,7
2014-11-30 11,5
2014-11-24 17,6
2014-11-25 19,5
2014-11-24 15,3
2014-11-24 14,5
2014-11-24 13,8
2014-11-24 12,6
2014-11-24 11,1
2014-11-30 19,3
2014-11-28 06,1
2014-11-25 10,9
2014-11-30 17,4
2014-11-30 14,3
2014-12-02 06,2
2014-11-25 13,8
2014-11-25 14,5
2014-11-30 13,11
2014-11-19 19,4
2014-11-24 19,5
2014-11-24 18,6
2014-11-25 18,6
2014-11-24 16,12
2014-12-15 18,7
2014-12-15 19,11
2014-12-15 10,4
2014-12-15 11,8
2014-12-15 12,17
2014-12-15 13,1
2014-12-15 14,1
2014-12-15 15,2
2014-12-15 16,6
2014-12-15 17,9
2014-11-19 17,9
2014-11-19 16,12
2014-11-19 15,3
2014-11-19 14,11
2014-12-10 08,1
2014-11-30 18,2
2014-11-19 11,1
2014-11-19 10,15
2014-12-10 04,1
2014-12-10 05,1
2014-12-10 06,3
2014-12-10 07,0
2014-11-29 21,12
2014-11-29 20,10
2014-11-29 23,9
2014-11-29 22,4
2014-11-21,3
2014-11-20,1
2014-11-23,1
2014-11-22,1
2014-11-25,1
2014-11-24,1
2014-11-27,1
2014-11-26,2
2014-11-29,1
2014-11-28,3
2014-12-08 23,9
2014-11-26 03,0
2014-12-14 15,9
2014-12-14 14,10
2014-12-14 13,5
2014-11-26 07,1
2014-12-14 11,7
2014-12-09 09,4
2014-12-09 06,2
2014-12-09 07,1
2014-11-26 08,2
2014-11-26 09,3
2014-12-09 02,0
2014-12-09 03,0
2014-12-14 19,13
2014-12-14 18,3
2014-12-08,1
2014-12-09,1
2014-12-02,1
2014-12-03,1
2014-12-01,2
2014-12-06,2
2014-12-07,1
2014-12-04,1
2014-12-05,1
2014-12-18 04,0
2014-12-18 05,1
2014-12-18 06,1
2014-12-18 07,1
2014-12-18 00,6
2014-12-18 01,1
2014-12-18 02,0
2014-12-18 03,0
2014-12-18 08,2
2014-12-18 09,4
2014-12-02 14,8
2014-12-02 15,4
2014-12-02 16,7
2014-12-02 17,6
2014-12-02 10,12
2014-12-02 11,10
2014-12-02 12,4
2014-12-02 13,5
2014-12-02 18,2
2014-12-02 19,9
2014-12-08 01,0
2014-12-03 13,7
2014-12-03 12,14
2014-12-03 11,11
2014-12-03 10,3
2014-12-03 17,1
2014-12-03 16,7
2014-12-03 15,5
2014-12-17 13,12
2014-12-03 19,2
2014-12-03 18,11
2014-11-18 21,11
2014-11-18 20,11
2014-11-18 23,5
2014-11-18 22,15
2014-12-17 16,4
2014-12-03 23,4
2014-12-17 14,3
2014-12-03 21,8
2014-11-25 21,15
2014-11-25 20,5
2014-11-25 23,4
2014-11-25 22,11
2014-11-26 15,3
2014-12-01 20,3
2014-12-05 20,12
2014-12-05 21,3
2014-12-05 22,12
2014-12-05 23,12
2014-12-06 09,6
2014-12-06 08,3
2014-12-06 07,1
2014-12-06 06,1
2014-12-06 05,0
2014-12-06 04,0
2014-12-06 03,0
2014-12-06 02,0
2014-12-06 01,0
2014-12-06 00,1
2014-12-17 23,9
2014-12-17 22,10
2014-12-17 21,3
2014-12-17 20,5
